generation,individual,fitness_f1,learning_rate,epochs,batch_size,dropout1,dropout2,dropout3,h1,h2,h3,patience
7,16,0.3776223776223776,0.004341889083061742,37,16,0.3,0.3,0.3,64,32,16,8
7,17,0.4496124031007752,0.005807885018422765,90,16,0.3,0.3,0.2,64,32,16,8
7,18,0.4580152671755725,0.005807885018422765,90,16,0.4,0.3,0.2,64,32,16,8
7,19,0.07142857142857142,0.005807885018422765,76,64,0.4,0.2,0.3,64,32,16,8
7,20,0.5844155844155845,0.005807885018422765,90,32,0.4,0.3,0.3,64,32,16,8
8,1,0.14285714285714285,0.00037900586552769077,70,32,0.2,0.3,0.0,64,32,16,8
8,2,0.45390070921985815,0.005807885018422765,81,32,0.4,0.3,0.3,64,32,16,8
8,3,0.45161290322580644,0.005677918413839926,71,32,0.0,0.3,0.3,64,32,16,8
8,4,0.6153846153846153,0.00995996161818699,76,16,0.4,0.0,0.3,64,32,16,8
8,5,0.5079365079365079,0.003148302188694549,90,64,0.4,0.3,0.1,64,32,16,8
8,6,0.18181818181818182,0.005677918413839926,86,32,0.4,0.3,0.3,64,32,16,8
8,7,0.6842105263157895,0.005677918413839926,71,16,0.4,0.3,0.3,64,32,16,8
8,8,0.7444444444444445,0.005677918413839926,76,16,0.4,0.3,0.2,64,32,16,8
8,9,0.7738095238095237,0.008956235514112404,90,32,0.4,0.3,0.1,64,32,16,8
8,10,0.5625,0.005677918413839926,76,16,0.4,0.3,0.2,64,32,16,8
8,11,0.1758241758241758,0.005677918413839926,71,16,0.4,0.3,0.3,64,32,16,8
8,12,0.5810810810810811,0.005677918413839926,81,64,0.1,0.3,0.3,64,32,16,8
8,13,0.1,0.004814155158354123,89,16,0.4,0.3,0.1,64,32,16,8
8,14,0.5671641791044776,0.005677918413839926,81,32,0.4,0.3,0.2,64,32,16,8
8,15,0.7149321266968325,0.005807885018422765,76,16,0.4,0.3,0.3,64,32,16,8
8,16,0.4161073825503355,0.005807885018422765,89,16,0.2,0.3,0.3,64,32,16,8
8,17,0.5786163522012578,0.005807885018422765,81,32,0.4,0.3,0.3,64,32,16,8
8,18,0.5930232558139535,0.01,76,32,0.3,0.3,0.2,64,32,16,8
8,19,0.5714285714285714,0.005677918413839926,76,16,0.4,0.3,0.1,64,32,16,8
8,20,0.768361581920904,0.005807885018422765,76,16,0.4,0.3,0.0,64,32,16,8
9,1,0.09259259259259259,0.00037900586552769077,70,32,0.2,0.3,0.0,64,32,16,8
9,2,0.7105263157894737,0.005677918413839926,76,16,0.4,0.3,0.3,64,32,16,8
